N,r,rho,regime,L,window,validated_R,R,precision,recall,FP,FN,TP
1013,1012,0.9990128331688055,LOW_SNR,65536,blackman,9,9,1.0,0.06429277942631058,0.0,946.0,65.0
1013,1012,0.9990128331688055,LOW_SNR,65536,blackman,9,10,1.0,0.06429277942631058,0.0,946.0,65.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hann,9,2,0.9238095238095239,0.13155291790306628,40.0,878.0,133.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hann,9,3,0.9961904761904762,0.13155291790306628,2.0,878.0,133.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hann,9,4,1.0,0.13155291790306628,0.0,878.0,133.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hann,9,5,1.0,0.13155291790306628,0.0,878.0,133.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hann,9,6,1.0,0.13155291790306628,0.0,878.0,133.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hann,9,7,1.0,0.13155291790306628,0.0,878.0,133.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hann,9,8,1.0,0.13155291790306628,0.0,878.0,133.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hann,9,9,1.0,0.13155291790306628,0.0,878.0,133.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hann,9,10,1.0,0.13155291790306628,0.0,878.0,133.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hann,9,11,1.0,0.13155291790306628,0.0,878.0,133.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hamming,9,2,0.9428571428571428,0.1414441147378833,30.0,868.0,143.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hamming,9,3,0.9961904761904762,0.1414441147378833,2.0,868.0,143.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hamming,9,4,1.0,0.1414441147378833,0.0,868.0,143.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hamming,9,5,1.0,0.1414441147378833,0.0,868.0,143.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hamming,9,6,1.0,0.1414441147378833,0.0,868.0,143.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hamming,9,7,1.0,0.1414441147378833,0.0,868.0,143.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hamming,9,8,1.0,0.1414441147378833,0.0,868.0,143.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hamming,9,9,1.0,0.1414441147378833,0.0,868.0,143.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hamming,9,10,1.0,0.1414441147378833,0.0,868.0,143.0
1013,1012,0.9990128331688055,LOW_SNR,131072,hamming,9,11,1.0,0.1414441147378833,0.0,868.0,143.0
1013,1012,0.9990128331688055,LOW_SNR,131072,blackman,9,2,0.8704761904761905,0.11968348170128586,68.0,890.0,121.0
1013,1012,0.9990128331688055,LOW_SNR,131072,blackman,9,3,0.9885714285714285,0.11968348170128586,6.0,890.0,121.0
1013,1012,0.9990128331688055,LOW_SNR,131072,blackman,9,4,0.9961904761904762,0.11968348170128586,2.0,890.0,121.0
1013,1012,0.9990128331688055,LOW_SNR,131072,blackman,9,5,1.0,0.11968348170128586,0.0,890.0,121.0
1013,1012,0.9990128331688055,LOW_SNR,131072,blackman,9,6,1.0,0.11968348170128586,0.0,890.0,121.0
1013,1012,0.9990128331688055,LOW_SNR,131072,blackman,9,7,1.0,0.11968348170128586,0.0,890.0,121.0
1013,1012,0.9990128331688055,LOW_SNR,131072,blackman,9,8,1.0,0.11968348170128586,0.0,890.0,121.0
1013,1012,0.9990128331688055,LOW_SNR,131072,blackman,9,9,1.0,0.11968348170128586,0.0,890.0,121.0
1013,1012,0.9990128331688055,LOW_SNR,131072,blackman,9,10,1.0,0.11968348170128586,0.0,890.0,121.0
1013,1012,0.9990128331688055,LOW_SNR,131072,blackman,9,11,1.0,0.11968348170128586,0.0,890.0,121.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hann,10,2,0.8836987607244995,0.2205736894164194,122.0,788.0,223.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hann,10,3,0.9847473784556721,0.2205736894164194,16.0,788.0,223.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hann,10,4,0.998093422306959,0.2205736894164194,2.0,788.0,223.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hann,10,5,1.0,0.2205736894164194,0.0,788.0,223.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hann,10,6,1.0,0.2205736894164194,0.0,788.0,223.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hann,10,7,1.0,0.2205736894164194,0.0,788.0,223.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hann,10,8,1.0,0.2205736894164194,0.0,788.0,223.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hann,10,9,1.0,0.2205736894164194,0.0,788.0,223.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hann,10,10,1.0,0.2205736894164194,0.0,788.0,223.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hann,10,11,1.0,0.2205736894164194,0.0,788.0,223.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hamming,10,2,0.9103908484270734,0.2324431256181998,94.0,776.0,235.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hamming,10,3,0.998093422306959,0.2324431256181998,2.0,776.0,235.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hamming,10,4,1.0,0.2324431256181998,0.0,776.0,235.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hamming,10,5,1.0,0.2324431256181998,0.0,776.0,235.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hamming,10,6,1.0,0.2324431256181998,0.0,776.0,235.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hamming,10,7,1.0,0.2324431256181998,0.0,776.0,235.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hamming,10,8,1.0,0.2324431256181998,0.0,776.0,235.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hamming,10,9,1.0,0.2324431256181998,0.0,776.0,235.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hamming,10,10,1.0,0.2324431256181998,0.0,776.0,235.0
1013,1012,0.9990128331688055,LOW_SNR,262144,hamming,10,11,1.0,0.2324431256181998,0.0,776.0,235.0
1013,1012,0.9990128331688055,LOW_SNR,262144,blackman,10,2,0.8265014299332698,0.20276953511374876,182.0,806.0,205.0
1013,1012,0.9990128331688055,LOW_SNR,262144,blackman,10,3,0.9561487130600572,0.20276953511374876,46.0,806.0,205.0
1013,1012,0.9990128331688055,LOW_SNR,262144,blackman,10,4,0.998093422306959,0.20276953511374876,2.0,806.0,205.0
1013,1012,0.9990128331688055,LOW_SNR,262144,blackman,10,5,1.0,0.20276953511374876,0.0,806.0,205.0
1013,1012,0.9990128331688055,LOW_SNR,262144,blackman,10,6,1.0,0.20276953511374876,0.0,806.0,205.0
1013,1012,0.9990128331688055,LOW_SNR,262144,blackman,10,7,1.0,0.20276953511374876,0.0,806.0,205.0
1013,1012,0.9990128331688055,LOW_SNR,262144,blackman,10,8,1.0,0.20276953511374876,0.0,806.0,205.0
1013,1012,0.9990128331688055,LOW_SNR,262144,blackman,10,9,1.0,0.20276953511374876,0.0,806.0,205.0
1013,1012,0.9990128331688055,LOW_SNR,262144,blackman,10,10,1.0,0.20276953511374876,0.0,806.0,205.0
1013,1012,0.9990128331688055,LOW_SNR,262144,blackman,10,11,1.0,0.20276953511374876,0.0,806.0,205.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hann,9,2,0.5133079847908745,0.6585365853658537,128.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hann,9,3,0.6806083650190115,0.6585365853658537,84.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hann,9,4,0.7718631178707225,0.6585365853658537,60.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hann,9,5,0.8403041825095057,0.6585365853658537,42.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hann,9,6,0.908745247148289,0.6585365853658537,24.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hann,9,7,0.9391634980988594,0.6585365853658537,16.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hann,9,8,0.9391634980988594,0.6585365853658537,16.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hann,9,9,0.9391634980988594,0.6585365853658537,16.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hann,9,10,0.9391634980988594,0.6585365853658537,16.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hamming,9,2,0.5133079847908745,0.6585365853658537,128.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hamming,9,3,0.7072243346007605,0.6585365853658537,77.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hamming,9,4,0.7984790874524715,0.6585365853658537,53.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hamming,9,5,0.8669201520912547,0.6585365853658537,35.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hamming,9,6,0.935361216730038,0.6585365853658537,17.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hamming,9,7,0.9429657794676806,0.6585365853658537,15.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hamming,9,8,0.9429657794676806,0.6585365853658537,15.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hamming,9,9,0.9429657794676806,0.6585365853658537,15.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,hamming,9,10,0.9429657794676806,0.6585365853658537,15.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,blackman,9,2,0.49429657794676807,0.6585365853658537,133.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,blackman,9,3,0.6083650190114068,0.6585365853658537,103.0,14.0,27.0
2017,42,0.020823004462072386,HIGH_SNR,65536,blackman,9,4,0.6920152091254753,0.6585365853658537,81.0,14.0,27.0
