source,title,doi,url,pdf_url,local_pdf,year,venue,query
crossref,High throughput parallel montgomery modular exponentiation on FPGA,10.1109/idt.2014.7038618,https://doi.org/10.1109/idt.2014.7038618,,,2014,2014 9th International Design and Test Symposium (IDT),multiplicative order detection spectrum modular exponentiation
crossref,Spectacular Exponents: A semi modular Approach to Fast Exponentiation,10.24297/jam.v16i0.8301,https://doi.org/10.24297/jam.v16i0.8301,https://cirworld.com/index.php/jam/article/download/8301/7769,,2019,JOURNAL OF ADVANCES IN MATHEMATICS,multiplicative order detection spectrum modular exponentiation
crossref,A New CMM-NAF Modular Exponentiation Algorithm by using a New Modular Multiplication Algorithm,10.3923/tasr.2012.240.247,https://doi.org/10.3923/tasr.2012.240.247,,,2012,Trends in Applied Sciences Research,multiplicative order detection spectrum modular exponentiation
crossref,New Modular Multiplication Algorithms for Fast Modular Exponentiation,10.1007/3-540-68339-9_15,https://doi.org/10.1007/3-540-68339-9_15,,,1996,Lecture Notes in Computer Science Advances in Cryptology — EUROCRYPT ’96,multiplicative order detection spectrum modular exponentiation
crossref,Study on Several Fast Algorithm of Modular Exponentiation in RSA,10.1109/ncis.2011.82,https://doi.org/10.1109/ncis.2011.82,,,2011,2011 International Conference on Network Computing and Information Security,multiplicative order detection spectrum modular exponentiation
crossref,Low power modular integer exponentiation using discrete logarithm transformation,10.1109/mnrc.2008.4683391,https://doi.org/10.1109/mnrc.2008.4683391,,,2008,2008 1st Microsystems and Nanoelectronics Research Conference,multiplicative order detection spectrum modular exponentiation
crossref,Modular exponentiation on fine-grained FPGA,10.1109/sbcci.2000.876021,https://doi.org/10.1109/sbcci.2000.876021,,,,Proceedings 13th Symposium on Integrated Circuits and Systems Design (Cat. No.PR00843),multiplicative order detection spectrum modular exponentiation
crossref,Classification and Canonical Forms for Multiplicative Linear and Multiplicative Quasilinear Second-Order Multiplicative Partial Differential Equations,10.1201/9781003440116-3,https://doi.org/10.1201/9781003440116-3,,,2023,Multiplicative Partial Differential Equations,multiplicative order detection spectrum modular exponentiation
crossref,Computing Modular Exponentiation for Fixed-Exponent,10.1145/2835043.2835046,https://doi.org/10.1145/2835043.2835046,,,2015,Proceedings of the 8th Annual ACM India Conference,multiplicative order detection spectrum modular exponentiation
crossref,The alternative Method to Finish Modular Exponentiation and Point Multiplication Processes,10.3837/tiis.2021.07.017,https://doi.org/10.3837/tiis.2021.07.017,,,2021,KSII Transactions on Internet and Information Systems,multiplicative order detection spectrum modular exponentiation
crossref,Signal detection in additive-multiplicative non-Gaussian noise using higher order statistics,10.1109/radioelek.2016.7477367,https://doi.org/10.1109/radioelek.2016.7477367,,,2016,2016 26th International Conference Radioelektronika (RADIOELEKTRONIKA),multiplicative order detection spectrum modular exponentiation
crossref,Systolic modular exponentiation,10.1007/3-540-63371-5_49,https://doi.org/10.1007/3-540-63371-5_49,,,1997,Lecture Notes in Computer Science Parallel Computing Technologies,multiplicative order detection spectrum modular exponentiation
crossref,High-radix Montgomery modular exponentiation on reconfigurable hardware,10.1109/12.936241,https://doi.org/10.1109/12.936241,,,2001,IEEE Transactions on Computers,multiplicative order detection spectrum modular exponentiation
crossref,"Modular Multiplicative Inverses, MMI",10.1201/9781003402633-28,https://doi.org/10.1201/9781003402633-28,,,2024,Electronic String Art,multiplicative order detection spectrum modular exponentiation
