source,target,weight
16,38,0.9615
16,39,0.9615
16,40,0.8600
16,41,0.5551
16,42,0.9615
16,43,0.9615
16,44,0.8600
16,45,0.7238
16,46,0.7238
16,47,0.9920
16,48,0.7238
16,49,0.7238
16,50,0.9920
16,51,0.7238
16,52,0.9920
16,53,0.7238
16,54,0.7218
16,55,0.7218
16,56,0.8245
16,58,0.9615
16,59,0.9615
16,60,0.9615
16,61,0.9615
16,62,0.6799
16,63,0.9615
16,64,0.9615
16,65,0.9615
16,66,0.9615
16,67,0.9615
16,68,0.9615
16,69,0.9615
16,70,0.6799
16,71,0.9615
16,72,0.9615
16,73,0.9615
17,18,1.0000
17,19,0.9088
17,20,0.8928
17,21,0.7578
17,22,0.9122
17,23,0.3925
17,24,0.8687
17,26,0.8600
17,27,0.9615
17,28,0.8600
17,29,0.9615
17,30,0.9615
17,31,0.9615
17,32,0.9615
17,33,0.8600
17,34,0.9615
17,36,0.9615
17,37,0.8600
17,38,0.9615
17,39,0.9615
17,40,0.8600
17,41,0.5551
17,42,0.9615
17,43,0.9615
17,44,0.8600
17,45,0.7238
17,46,0.7238
17,47,0.9920
17,48,0.7238
17,49,0.7238
17,50,0.9920
17,51,0.7238
17,52,0.9920
17,53,0.7238
17,54,0.7218
17,55,0.7218
17,56,0.8245
17,58,0.9615
17,59,0.9615
17,60,0.9615
17,61,0.9615
17,62,0.6799
17,63,0.9615
17,64,0.9615
17,65,0.9615
17,66,0.9615
17,67,0.9615
17,68,0.9615
17,69,0.9615
17,70,0.6799
17,71,0.9615
17,72,0.9615
17,73,0.9615
18,19,0.9088
18,20,0.8928
18,21,0.7578
18,22,0.9122
18,23,0.3925
18,24,0.8687
18,26,0.8600
18,27,0.9615
18,28,0.8600
18,29,0.9615
18,30,0.9615
18,31,0.9615
18,32,0.9615
18,33,0.8600
18,34,0.9615
18,36,0.9615
18,37,0.8600
18,38,0.9615
18,39,0.9615
18,40,0.8600
18,41,0.5551
18,42,0.9615
18,43,0.9615
18,44,0.8600
18,45,0.7238
18,46,0.7238
18,47,0.9920
18,48,0.7238
18,49,0.7238
18,50,0.9920
18,51,0.7238
18,52,0.9920
18,53,0.7238
18,54,0.7218
18,55,0.7218
18,56,0.8245
18,58,0.9615
18,59,0.9615
18,60,0.9615
18,61,0.9615
18,62,0.6799
18,63,0.9615
18,64,0.9615
18,65,0.9615
18,66,0.9615
18,67,0.9615
18,68,0.9615
18,69,0.9615
18,70,0.6799
18,71,0.9615
18,72,0.9615
18,73,0.9615
19,20,0.7050
19,21,0.5984
19,22,0.7203
19,23,0.3100
19,24,0.8356
19,25,0.4810
19,26,0.6791
19,27,0.7593
19,28,0.6791
19,29,0.7593
19,30,0.7593
19,31,0.7593
19,32,0.7593
19,33,0.6791
19,34,0.7593
19,36,0.7593
19,37,0.6791
19,38,0.7593
19,39,0.7593
19,40,0.6791
19,41,0.4384
19,42,0.7593
19,43,0.7593
19,44,0.6791
19,45,0.7964
19,46,0.7964
19,47,0.9542
19,48,0.7964
19,49,0.7964
19,50,0.9542
19,51,0.7964
19,52,0.9542
19,53,0.7964
19,54,0.9447
19,55,0.9447
19,56,0.6511
19,58,0.7593
19,59,0.7593
19,60,0.7593
19,61,0.7593
19,62,0.5369
19,63,0.7593
19,64,0.7593
19,65,0.7593
19,66,0.7593
19,67,0.7593
19,68,0.7593
19,69,0.7593
19,70,0.5369
19,71,0.7593
19,72,0.7593
19,73,0.7593
20,21,0.9074
20,22,0.8808
20,23,0.3790
20,24,0.9266
20,26,0.8305
20,27,0.9285
20,28,0.8305
20,29,0.9285
20,30,0.9285
20,31,0.9285
20,32,0.9285
20,33,0.8305
20,34,0.9285
20,36,0.9285
20,37,0.8305
20,38,0.9285
20,39,0.9285
20,40,0.8305
20,41,0.5361
20,42,0.9285
20,43,0.9285
20,44,0.8305
